Agency County,Agency Name,Type of Tax/Debt,Amount of Bond/Tax,Purpose,Measure,% Yes,% No,Result (Pass/Fail),Threshold,Election Year,Election Type,Election Date
Marin,Muir Beach Community Services District,PLF Debt,Parcel Tax: Levy a $200 Tax Per Parcel Annually for 4 Yrs,"Fire, Police Protection/Emergency Medical",E,87,13,Pass,two-thirds,2012,Primary,6/5/2012 0:00
Placer,Placer County Fire Protection District,PLF Debt,"Parcel Tax: Increase Parcel Tax by $40 Per Unit for Residential Development, $20 for Mobilehome Units and by $0.046 Per Sq Ft for Commercial/Industrial Development","Fire, Police Protection/Emergency Medical",D,41.3,58.7,Fail,two-thirds,2012,Primary,6/5/2012 0:00
Placer,Placer Hills Fire Protection District,PLF Debt,Parcel Tax: Levy a Parcel Tax of an Estimated $79 Per Home,"Fire, Police Protection/Emergency Medical",E,53.6,46.4,Fail,two-thirds,2012,Primary,6/5/2012 0:00
San Mateo,San Mateo County Fire Service Area 1,PLF Debt,Parcel Tax: Renew $65 Tax Per Parcel for 4 Yrs,"Fire, Police Protection/Emergency Medical",Z,70.2,29.8,Pass,two-thirds,2012,Primary,6/5/2012 0:00
Alameda,Oakland,PLF Debt,Parcel Tax: $80 per parcel per year for 5 years.,"Fire, Police Protection/Emergency Medical",I,37.75,62.25,Fail,two-thirds,2011,Local,11/8/2011 0:00
Marin,San Rafael,PLF Debt,Property Tax: Tax will increase from $85 a year to $95 a year for each residential unit; non-residential builds will increase from $0.11 to $0.132 sq. ft. Both phased in over 4 years.,"Fire, Police Protection/Emergency Medical",F,74.1,25.9,Pass,two-thirds,2011,Local,11/8/2011 0:00
Marin,Corte Madera,PLF Debt,"Property Tax: $60 per residence and $60 per 1,000 sq. ft. floor area for non residential property; allows a $5 increase per year with a cap of $75 per year.","Fire, Police Protection/Emergency Medical",C,82.49,17.51,Pass,two-thirds,2011,Local,11/8/2011 0:00
Kern,California City,PLF Debt,Parcel Tax: Imposed $150 per year per parcel for 10 years.,"Fire, Police Protection/Emergency Medical",A,36.9,63.1,Fail,two-thirds,2011,Local,11/8/2011 0:00
San Bernardino,Hesperia,PLF Debt,Parcel Tax: Levy $85 per parcel per year on property owners for 5 years.,"Fire, Police Protection/Emergency Medical",F,19.26,80.74,Fail,two-thirds,2011,Local,11/8/2011 0:00
Los Angeles,San Marino,PLF Debt,Parcel Tax: Tax rate ranges from low $395 to $1071 per parcel; extended for 4 years.,"Fire, Police Protection/Emergency Medical",S,73.3,26.7,Pass,two-thirds,2011,Local,11/8/2011 0:00
Marin,Marin County Service Area 13 (Lucas Valley),PLF Debt,Property Tax: Continue to increase from $85 a year to $95 a year for each residential unit; Tax from non residential builds will increase from $0.11 to $0.132 per sq. ft.; both phased in over 4 years.,"Fire, Police Protection/Emergency Medical",E,77.43,22.57,Pass,two-thirds,2011,Local,11/8/2011 0:00
Marin,Marinwood Community Service District,PLF Debt,Property Tax: Increase tax from $0.18 to $0.28 sq. ft. of residential and commercial space; unimproved land will increase from $60 to $90 per acre.,"Fire, Police Protection/Emergency Medical",G,67.04,32.96,Pass,two-thirds,2011,Local,11/8/2011 0:00
Marin,Santa Venetia-Bayside Acres Fire Protection District,PLF Debt,Special tax would increase from $85 to $95 per year for each unit and from 11 cent to 13.2 cent per square foot in structures for non residential structure.,"Fire, Police Protection/Emergency Medical",F,72.9,27.1,Pass,two-thirds,2011,Local,11/8/2011 0:00
El Dorado,Pioneer Fire Protection District,PLF Debt,Parcel Tax: $85 per year per parcel.,"Fire, Police Protection/Emergency Medical",F,76.81,23.19,Pass,two-thirds,2011,Local,11/8/2011 0:00
Plumas,Prattville/Almanor Fire Protection District,PLF Debt,Parcel Tax: $75.00 per year parcel tax for 10 years.,"Fire, Police Protection/Emergency Medical",B,86.96,13.04,Pass,two-thirds,2011,Local,11/8/2011 0:00
Plumas,West Almanor Community Services District,PLF Debt,Parcel Tax: Increase from $90 a year to $200 a year.,"Fire, Police Protection/Emergency Medical",A,65.59,34.41,Fail,two-thirds,2011,Local,11/8/2011 0:00
Calaveras,West Point Fire Protection District,PLF Debt,Parcel Tax: $78.50 per parcel per year.,"Fire, Police Protection/Emergency Medical",A,83.36,16.64,Pass,two-thirds,2011,Local,11/8/2011 0:00
Riverside,Idyllwild Fire Protection District,PLF Debt,Stand by Charge: Increase stand by charge not to exceed $130.00 per unit.,"Fire, Police Protection/Emergency Medical",G,40.31,59.69,Fail,two-thirds,2011,Local,8/30/2011 0:00
Santa Clara,Black Mountain Fire & Emergency Response Zone,PLF Debt,Parcel Tax: Levy $30 per year subject to cost of living adjustment not to exceed 4% in any year.,"Fire, Police Protection/Emergency Medical",J,66.18,33.82,Fail,two-thirds,2011,Local,8/30/2011 0:00
Riverside,Canyon Lake,PLF Debt,Parcel Tax: Levy $204/year on improved parcels and $96/year on unimproved parcels for 5 years.,"Fire, Police Protection/Emergency Medical",E,37.88,62.12,Fail,two-thirds,2011,Local,6/7/2011 0:00
Tuolumne,Columbia Fire Protection District,PLF Debt,Property Tax: $80 a year per single family home and $40 per mobile home and other amounts depending on type and size of property.,"Fire, Police Protection/Emergency Medical",Not available,67.94,31.58,Pass,two-thirds,2011,Local,3/1/2011 0:00
Alameda,Albany,PLF Debt,Parcel Tax: Increase the Tax Beginning Fiscal Year 2011-12 in Accordance with the CPI for the Greater San Francisco Area,"Fire, Police Protection/Emergency Medical",P,72,28,Pass,two-thirds,2010,General,11/2/2010 0:00
Marin,San Rafael,PLF Debt,"Parcel Tax: Amend San Rafael Municipal Code Chapter 3.28 to Permit Phased Increases, Up to $23 Annually Above the Current Rate, on Residential Units, and Up to $.03/Sq Ft Annually above the Current Rate on Non-Residential Structures","Fire, Police Protection/Emergency Medical",I,68.4,31.6,Pass,two-thirds,2010,General,11/2/2010 0:00
Marin,Corte Madera,PLF Debt,"Parcel Tax: Continue a Special Tax for 4 Additional Yrs at a Rate of $60 Per Residence and $60/1,000 Sq Ft of Floor Area for Non-Residential Uses for FY 2011-2012, Increasing $5/Yr to $75/Residence and $75/1,000 Sq Ft of Floor Area for Non-residential Uses in FY 2014-2015","Fire, Police Protection/Emergency Medical",C,64.8,35.2,Fail,two-thirds,2010,General,11/2/2010 0:00
Marin,Larkspur,PLF Debt,Parcel Tax: Continue Parcel Tax of $42.50 Not Exceeding $51.50 in the 4th Yr,"Fire, Police Protection/Emergency Medical",E,70.1,29.9,Pass,two-thirds,2010,General,11/2/2010 0:00
Marin,"Fairfax, Town of",PLF Debt,Parcel Tax: Continue Parcel Tax of $42.50 Not Exceeding $51.50 in the 4th Yr,"Fire, Police Protection/Emergency Medical",D,74.5,25.5,Pass,two-thirds,2010,General,11/2/2010 0:00
Marin,Ross,PLF Debt,Parcel Tax: Continue Parcel Tax of $42.50 Not Exceeding $51.50 in the 4th Yr,"Fire, Police Protection/Emergency Medical",G,74.1,25.9,Pass,two-thirds,2010,General,11/2/2010 0:00
Marin,San Anselmo,PLF Debt,Parcel Tax: Continue Parcel Tax of $42.50 Not Exceeding $51.50 in the 4th Yr,"Fire, Police Protection/Emergency Medical",H,72.5,27.5,Pass,two-thirds,2010,General,11/2/2010 0:00
Sonoma,Forestville Fire Protection District,PLF Debt,Parcel Tax: Levy a Parcel of $75 Per Improved Parcel of Real Property,"Fire, Police Protection/Emergency Medical",V,73.7,26.3,Pass,two-thirds,2010,General,11/2/2010 0:00
Siskiyou,McCloud Fire Department,PLF Debt,Parcel Tax: Levy an Annual Parcel Tax at an Initial Amount of $76.50 Per Parcel,"Fire, Police Protection/Emergency Medical",F,66.1,33.9,Fail,two-thirds,2010,General,11/2/2010 0:00
Marin,Kentfield Fire Protection District,PLF Debt,Parcel Tax: Continue Parcel Tax of $42.50 Not Exceeding $51.50 in the 4th Yr,"Fire, Police Protection/Emergency Medical",O,70.7,29.3,Pass,two-thirds,2010,General,11/2/2010 0:00
Marin,Marinwood Community Service District,PLF Debt,"Parcel Tax: Increase Up to $23 Annually the Current Rate on Residential Units, and Up to $.03/Sq Ft Annually the Current Rate on Non-Residential Structures","Fire, Police Protection/Emergency Medical",Q,47.1,52.9,Fail,two-thirds,2010,General,11/2/2010 0:00
Marin,Lucas Valley County CSA No 13,PLF Debt,"Parcel Tax: Increase Existing Tax by Up to $23 for a Maximum of Up to $108 Per Residential Unit, and Up to $.03 for a Maximum of Up to $.14/Sq Ft on Non-Residential Structures","Fire, Police Protection/Emergency Medical",J,64.2,35.8,Fail,two-thirds,2010,General,11/2/2010 0:00
Marin,Ross Valley Paramedic Authority County Service,PLF Debt,Parcel Tax: Continue Parcel Tax of $42.50 Not Exceeding $51.50 in the 4th Yr,"Fire, Police Protection/Emergency Medical",L,68.3,31.7,Pass,two-thirds,2010,General,11/2/2010 0:00
Marin,Santa Venetia-Bayside Acres Fire Protection District,PLF Debt,"Parcel Tax: Increase Up to $23 Annually the Current Rate on Residential Units, and Up to $.03/Sq Ft Annually the Current Rate on Non-Residential Structures","Fire, Police Protection/Emergency Medical",K,66.2,33.8,Fail,two-thirds,2010,General,11/2/2010 0:00
Marin,Sleepy Hollow Fire Protection District,PLF Debt,Parcel Tax: Continue Parcel Tax of $42 Not Exceeding $51 in the 4th Yr,"Fire, Police Protection/Emergency Medical",R,81,19,Pass,two-thirds,2010,General,11/2/2010 0:00
Lassen,Susan River Fire Protection District,PLF Debt,Parcel Tax: Levy Annual Tax of $79 Per Parcel on Non-Agricultural Parcels and $19 Per Parcels on Agricultural Parcels,"Fire, Police Protection/Emergency Medical",U,61.5,38.5,Fail,two-thirds,2010,General,11/2/2010 0:00
Marin,West Marin Paramedic County Service Area 28,PLF Debt,Parcel Tax: Increase Tax $24 Annually Above the Current Rate on Residential Units,"Fire, Police Protection/Emergency Medical",M,73.1,26.9,Pass,two-thirds,2010,General,11/2/2010 0:00
Marin,Marin County Service Area 31,PLF Debt,"Parcel Tax: IncreaseTax $38 AnnuallyAbove the Current Rate on Living Units, $19 Annually Above the Current Rate on Unimproved Parcels, and $57 Above the Current Rate for Improved Commercial or Industrial Parcels","Fire, Police Protection/Emergency Medical",N,62.3,37.7,Fail,two-thirds,2010,General,11/2/2010 0:00
Riverside,Desert Hot Springs,PLF Debt,Parcel Tax: Renew the Existing Annual Public Safety Parcel Tax Rates for 10 Yrs,"Fire, Police Protection/Emergency Medical",G,82.7,17.3,Pass,two-thirds,2010,Primary,6/8/2010 0:00
San Luis Obispo,Arroyo Grande,General Obligation Bond,"$6,000,000 ","Fire, Police Protection/Emergency Medical",A-10,65.1,34.9,Fail,two-thirds,2010,Primary,6/8/2010 0:00
Contra Costa,Kensington Police Protection and Community Services District,PLF Debt,Parcel Tax: Impose a Parcel Tax Not to Exceed $200 for Single Family Residential Parcels Beginning FY 2010/11,"Fire, Police Protection/Emergency Medical",G,68.8,31.2,Pass,two-thirds,2010,Primary,6/8/2010 0:00
Sonoma,Russian River Fire Protection District,PLF Debt,Parcel Tax: Levy a Special Tax Ranging from $70 to $350 Per Parcel,"Fire, Police Protection/Emergency Medical",F,69.9,30.1,Pass,two-thirds,2010,Primary,6/8/2010 0:00
Contra Costa,Contra Costa County CSA P-6,PLF Debt,"Parcel Tax: Levy Parcel Tax in the Unincorporated Area of El Sobrante, at an Initial Annual Amount of $38 Per Parcel for Single-Family, Residential Parcels Beginning 7/1/2010, and Ending 6/30/2015","Fire, Police Protection/Emergency Medical",E,47.3,52.7,Fail,two-thirds,2010,Primary,6/8/2010 0:00
Marin,San Rafael,General Obligation Bond,"$88,000,000 ","Fire, Police Protection/Emergency Medical",G,61.01,38.99,Fail,two-thirds,2009,Local,11/3/2009 0:00
Alameda,Emeryville,PLF Debt,"Business License Tax: Increase business license tax on card rooms from 9% to 10% of gross receipts or $1,000 per table.","Fire, Police Protection/Emergency Medical",K,83.29,16.71,Pass,Majority,2009,Local,11/3/2009 0:00
San Mateo,Atherton,PLF Debt,Parcel Tax: extend for 4 years.,"Fire, Police Protection/Emergency Medical",S,78,22,Pass,two-thirds,2009,Local,11/3/2009 0:00
Monterey,Carmel Valley Fire Protection District,PLF Debt,Property Tax: Increase by $7.50 per service unit per year.,"Fire, Police Protection/Emergency Medical",F,85.07,14.93,Pass,two-thirds,2009,Local,8/25/2009 0:00
Riverside,Desert Hot Springs,PLF Debt,"Utility Users Tax: Increase Rate, Which Will Sunset After 11 Yrs, from 5% to 7%","Fire, Police Protection/Emergency Medical",A,74.6,25.4,Pass,two-thirds,2009,Local,5/19/2009 0:00
Imperial,Calexico,PLF Debt,Transaction and UseTax: Impose 1/2› Sales Tax for 20 Yrs,"Fire, Police Protection/Emergency Medical",E,46.9,53.1,Fail,two-thirds,2009,Local,5/19/2009 0:00
Sacramento,Rancho Cordova,PLF Debt,Utility Users Tax: Continue 2.5% Tax,"Fire, Police Protection/Emergency Medical",B,55.1,44.9,Fail,two-thirds,2009,Local,5/19/2009 0:00
Colusa,Arbuckle-College City Fire Protection District,PLF Debt,Parcel Tax: $79.19 annually.,"Fire, Police Protection/Emergency Medical",D,37,63,Fail,two-thirds,2009,Local,5/5/2009 0:00
San Bernardino,Barstow,Sales Tax Revenue Bond,Sales Tax: Enact a 3/4› Tax,"Fire, Police Protection/Emergency Medical",D,57,43,Fail,two-thirds,2008,General,11/4/2008 0:00
Alameda,Oakland,PLF Debt,"Parcel Tax: Authorization of a Parcel Tax to Fund the Cost of Additional Police Officers and Police Services Technicians, and a Crime Data Management System for Crime Analysis","Fire, Police Protection/Emergency Medical",NN,54.4,45.6,Fail,two-thirds,2008,General,11/4/2008 0:00
San Diego,San Diego County,PLF Debt,"Parcel Tax: Levy from $52/Parcel Per Year to $1,000/Year Beginning 2009-2010 for 30 Yrs","Fire, Police Protection/Emergency Medical",A,63.6,36.4,Fail,two-thirds,2008,General,11/4/2008 0:00
Alameda,San Leandro,Special Assessment Bond,911 Emergency Communication System Access Tax: Convert Existing 911 Emergency Communication System Access Fee Ordinance Into an Emergency Communication System Access Tax (No Tax Rate Increase),"Fire, Police Protection/Emergency Medical",SS,78.8,21.2,Pass,two-thirds,2008,General,11/4/2008 0:00
Alameda,San Leandro,PLF Debt,"Parcel Tax: Levy a Parcel Tax for 4 Yrs In An Annual Amount from $3 to $48, Depending on Type of Parcel, for Police Services","Fire, Police Protection/Emergency Medical",TT,55.8,44.2,Fail,two-thirds,2008,General,11/4/2008 0:00
Alameda,Union City,PLF Debt,"Public Safety Services Tax: Continue Existing Tax Set to Expire on 4/23/2009 for an Add'l 8 Yrs, Beginning 4/24/2009, to Fund Essential Police and Fire Protection Services, and Youth Violence Prevention and Intervention Programs","Fire, Police Protection/Emergency Medical",UU,73.3,26.8,Pass,two-thirds,2008,General,11/4/2008 0:00
Fresno,Parlier,PLF Debt,"Parcel Tax: Levy a Parcel Tax of $300 Per Year for Residential Parcels, $480 Per Year for Commercial Parcels, $1,200 Per Year for Industrial Parcels and Other Amounts for Government-Owned and Other Parcels","Fire, Police Protection/Emergency Medical",S,59.2,40.9,Fail,two-thirds,2008,General,11/4/2008 0:00
Amador,Amador County,Sales Tax Revenue Bond,Sales Tax: Increase Tax by 1/2›,"Fire, Police Protection/Emergency Medical",M,69.3,30.7,Pass,two-thirds,2008,General,11/4/2008 0:00
Modoc,Alturas,Sales Tax Election,Sales Tax: Impose 1/2› Tax,"Fire, Police Protection/Emergency Medical",K,48,52,Fail,two-thirds,2008,General,11/4/2008 0:00
Siskiyou,McCloud Community Services District,PLF Debt,Parcel Tax: Levy Tax of $152.98 Beginning Fiscal Year 2009/2010,"Fire, Police Protection/Emergency Medical",T,76.7,23.3,Pass,two-thirds,2008,General,11/4/2008 0:00
San Bernardino,Arrowbear Park County Water District,PLF Debt,Parcel Tax: Levy Tax of $45/Parcel Per Year for a Max of 30 Yrs,"Fire, Police Protection/Emergency Medical",U,50.6,49.4,Fail,two-thirds,2008,General,11/4/2008 0:00
Butte,El Medio Fire Protection District,PLF Debt,Parcel Tax: Levy an Annual Parcel Tax from $58-$200,"Fire, Police Protection/Emergency Medical",B,73,27,Pass,two-thirds,2008,General,11/4/2008 0:00
Marin,Twin Cities Police Authority,General Obligation Bond,"$20,000,000 ","Fire, Police Protection/Emergency Medical",E,69.3,30.7,Pass,two-thirds,2008,General,11/4/2008 0:00
Sonoma,Gold Ridge Fire Protection District,PLF Debt,Parcel Tax: Levy Tax of $45 on All Improved Parcels of Real Property,"Fire, Police Protection/Emergency Medical",O,76,24,Pass,two-thirds,2008,General,11/4/2008 0:00
Siskiyou,Lake Shastina Community Service District,PLF Debt,Parcel Tax: Levy Tax of $97/Parcel Per Year Beginning 1/1/2009,"Fire, Police Protection/Emergency Medical",R,62.1,37.9,Fail,two-thirds,2008,General,11/4/2008 0:00
Tuolumne,Mi-Wuk Sugar Pine Fire Protection District,PLF Debt,Parcel Tax: Levy Annual Tax from $80 to $290 Per Parcel (Depending on Type of Parcel) from 2009 Through 6/30/2019,"Fire, Police Protection/Emergency Medical",V,52.4,47.6,Fail,two-thirds,2008,General,11/4/2008 0:00
Siskiyou,Scott Valley Fire & Emergency Response Zone of County Service Area No 4,PLF Debt,"Parcel Tax: Levy Tax for Improved Parcels $25-$40, Unimproved $4-15 Per Parcel Per Year with an Escalation Clause That Increases Not to Exceed 4% In Any 1 Yr","Fire, Police Protection/Emergency Medical",N,43.1,56.9,Fail,two-thirds,2008,General,11/4/2008 0:00
Kern,Pine Mountain Club Zone of Benefit 1 CSA 40,PLF Debt,Parcel Tax: Levy Tax of $70 Per Improved or Unimproved Parcel of Real Property to Begin 1/1/2009,"Fire, Police Protection/Emergency Medical",K,75.4,24.6,Pass,two-thirds,2008,General,11/4/2008 0:00
